Year,Value,Units,Series
2010,11.597,percentage,all-day care provision for 0 to 2-year-old children
2011,12.94,percentage,all-day care provision for 0 to 2-year-old children
2012,14.629,percentage,all-day care provision for 0 to 2-year-old children
2013,15.758,percentage,all-day care provision for 0 to 2-year-old children
2014,17.462,percentage,all-day care provision for 0 to 2-year-old children
2015,18.065,percentage,all-day care provision for 0 to 2-year-old children
2016,18.32,percentage,all-day care provision for 0 to 2-year-old children
2017,18.478,percentage,all-day care provision for 0 to 2-year-old children
2018,18.837,percentage,all-day care provision for 0 to 2-year-old children
2019,19.321,percentage,all-day care provision for 0 to 2-year-old children
2020,19.583,percentage,all-day care provision for 0 to 2-year-old children
2021,18.942,percentage,all-day care provision for 0 to 2-year-old children
2022,19.297,percentage,all-day care provision for 0 to 2-year-old children
2023,19.659,percentage,all-day care provision for 0 to 2-year-old children
2030,,percentage,all-day care provision for 0 to 2-year-old children
2010,32.321,percentage,all-day care provision for 3 to 5-year-old children
2011,34.879,percentage,all-day care provision for 3 to 5-year-old children
2012,37.05,percentage,all-day care provision for 3 to 5-year-old children
2013,39.266,percentage,all-day care provision for 3 to 5-year-old children
2014,41.67,percentage,all-day care provision for 3 to 5-year-old children
2015,44.404,percentage,all-day care provision for 3 to 5-year-old children
2016,44.756,percentage,all-day care provision for 3 to 5-year-old children
2017,45.511,percentage,all-day care provision for 3 to 5-year-old children
2018,46.132,percentage,all-day care provision for 3 to 5-year-old children
2019,47.178,percentage,all-day care provision for 3 to 5-year-old children
2020,47.913,percentage,all-day care provision for 3 to 5-year-old children
2021,47.324,percentage,all-day care provision for 3 to 5-year-old children
2022,47.353,percentage,all-day care provision for 3 to 5-year-old children
2023,47.003,percentage,all-day care provision for 3 to 5-year-old children
2030,,percentage,all-day care provision for 3 to 5-year-old children
